player_name,club,position,assists,corner_taken,offsides,dribbles,total_attempts,on_target,off_target,blocked,balls_recoverd,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,red,yellow,pass_attempted,pass_completed,cross_attempted,cross_complted,freekicks_taken,match_played,saved,conceded,saved_penalties,cleansheets,punches made,goals,goals_right_foot,goals_left_foot,goals_headers,goals_others,goals_inside_area,goals_outside_areas,penalties,minutes_played,match_played,distance_covered
De Roon,Atalanta,Midfielder,0,0,0,0,2,0,1,1,34,0,4,15,10,1,2,0,298,245,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,484,6,62.1
Renan Lodi,Atlético Madrid,Defender,2,1,5,9,4,2,1,1,23,6,15,8,14,6,0,0,164,128,20,5,5,10,0,0,0,0,0,1,0,0,1,0,1,0,0,478,10,61.7
Giménez,Atlético Madrid,Defender,0,0,0,0,5,0,4,1,35,2,2,23,4,3,1,0,211,175,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,585,7,63.3
Vrsaljko,Atlético Madrid,Defender,0,0,0,0,2,1,1,0,23,3,3,8,12,2,1,0,80,55,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,304,5,36.9
Hermoso,Atlético Madrid,Defender,0,0,0,0,2,0,1,1,28,1,1,23,9,1,1,0,165,127,3,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,425,6,47.7
Savić,Atlético Madrid,Defender,0,0,0,0,2,0,1,1,34,5,1,17,1,1,1,0,191,158,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,450,5,51.6
Felipe,Atlético Madrid,Defender,0,0,0,0,1,0,1,0,34,1,2,31,7,2,3,2,195,168,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,472,7,51.4
Reinildo,Atlético Madrid,Defender,0,0,0,0,0,0,0,0,76,6,7,20,15,15,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trippier,Atlético Madrid,Defender,0,0,0,0,0,0,0,0,7,3,0,1,1,4,0,0,95,70,5,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,220,3,27
Griezmann,Atlético Madrid,Forward,2,2,1,8,12,5,5,2,20,6,8,5,6,4,0,1,191,151,7,3,1,9,0,0,0,0,0,4,0,4,0,0,4,0,0,518,9,64.3
João Félix,Atlético Madrid,Forward,1,1,3,21,12,3,7,2,5,1,5,7,4,13,2,0,160,131,2,1,0,8,0,0,0,0,0,1,0,0,1,0,1,0,0,573,8,68.5
Correa,Atlético Madrid,Forward,0,0,0,0,9,3,4,2,12,3,2,0,10,8,2,0,139,107,7,2,1,10,0,0,0,0,0,1,1,0,0,0,1,0,0,401,10,49.6
Luis Suárez,Atlético Madrid,Forward,0,0,0,0,8,2,5,1,1,0,0,2,3,4,2,0,84,57,3,0,2,7,0,0,0,0,0,1,1,0,0,0,1,0,1,347,7,38.7
Carrasco,Atlético Madrid,Forward,0,0,0,0,6,2,1,3,8,0,1,8,1,7,0,1,148,117,14,3,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,472,7,60.1
Matheus Cunha,Atlético Madrid,Forward,0,0,0,0,4,0,2,2,2,0,2,1,6,3,0,0,19,17,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,142,5,18.3
Oblak,Atlético Madrid,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,158,0,0,31,0,26,10,0,3,2,0,0,0,0,0,0,0,0,900,10,52.7
Lemar,Atlético Madrid,Midfielder,1,7,0,7,4,3,0,1,14,3,1,4,3,3,0,0,171,133,14,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,377,8,48.9
